"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2003,1,"Coastwide",0.178996340261314,0.359734824281361,0.0643912170109104
2004,1,"Coastwide",0.182984931978278,0.315576364050613,0.0577457195097536
2005,1,"Coastwide",0.212191039948845,0.324228929324614,0.0687984736948903
2006,1,"Coastwide",0.101319746251568,0.392309719816868,0.0397487212638687
2007,1,"Coastwide",0.064290096227313,0.71371618935117,0.0458848824923778
2008,1,"Coastwide",0.0663020171785885,0.675886038834678,0.044812607757585
2009,1,"Coastwide",0.0607598906424012,0.421185019507021,0.0255911557254643
2010,1,"Coastwide",0.199254477768341,0.318327121034156,0.0634281042611604
2011,1,"Coastwide",0.335049843846597,0.266150335702398,0.0891736284168076
2012,1,"Coastwide",0.377183276073664,0.26714155805307,0.10076132804188
2013,1,"Coastwide",0.242386750724923,0.422977955566776,0.102524252278102
2014,1,"Coastwide",0.253681204359025,0.305547689541057,0.0775117058718926
2015,1,"Coastwide",0.367974100475686,0.366053582659586,0.134698237805063
